# format: <word-or-phrase>[,<word-or-phrase-alias>]
# the first line simply strips the listed strings from the title field 
,1/,2T4T,2T4,24T,2T,4T,46X,47,4 7,12/18/2
1" WRISTBAND,1 WRISTBAND
1" WRISTBAND,1 WRISTBAND,1 WRSTBN
1",1'',1IN,1 IN,1 INCH
1",1INCH
1-PLY,1PLY,1- PLY,1 PLY
1.5 DRIVER,DRIVE 1.5
1/2 SLEEVE,1/2 SLEEVE,HALF SLEEVE
1/2" PERFORMANCE WRISTBAND,1/2"PERFORMANCEWRISTB
1/2",1/2'
1/4 ZIP NOVELTY,1/4ZNOVE
10",10'',10IN,10 IN,10 INCH
11",11'',11IN,11 IN,11 INCH 12" SHORT,12 SHORT
12",12'',12IN,12 IN,12 INCH
2",2'',2IN,2 IN,2 INCH
2-PACK,2PACK,2 Pack,2-PK,2 PAD,2-FER
2.0 DRIVER,DRIVE 2.0,DRIVE 2
2015,\'15,'15
24/7,247
2IN1,2-IN-1,2-IN1,2I
3",3'',3IN,3 IN,3 INCH,3'
3",3INCH
3-IN-1,3-IN1
3-PACK,3PACK,3 Pack,3-PK,3 PCK,3 PAD
3.0 DRIVER,DRIVE 3
3.1 PADRES,3.1PADRES
30",30 INCH,30 IN
34",34 INCH
3D,3-D
4",4'',4IN,4 IN,4 INCH
4-PACK,4PACK,4 Pack,4-PK
4IN1,4-IN-1,4-IN1
5",5'',5IN,5 IN,5 INCH
5",5INCH
5-PACK,5-PAD,5 PAD
6",6'',6IN,6 IN,6 INCH
6",6INCH,6 INCH
60/40 SHIRT,60/40S,60.40S
7",7'',7IN,7 IN,7 INCH
8",8'',8IN,8 IN,8 INCH
9",9'',9IN,9 IN,9 INCH
A.K.A.,A.K.A
ACTION,ACT
ADJUSTABLE,ADJ
ALL-STAR GAME,ASG
ALL-STAR,ALL STAR
ANTIMICROBIAL MOUTHGUARD,ANTIMICROBMOUTHGUARDCA
ARMOURBITE,ARMOURMITE
ARMOURED,ARMD
ARMOURFIT,ARMOURFIT
ARMOURFLEECE,ARMOUR FLEECE,ARMOURFLEECE
ARMOURSHIELD,ARMOURSHIELD
ARMOURSTORM,ARMOURSTORM
ARMOURSTRETCH,ARMOURSTRETCH
ARMOURSTRIDE,ARMOURSTRIDE
ARMOURSTYLE,ARMOURSTYLE
ARMOURVENT,ARMOURVENT
ASYMMETRICAL,ASSYMETRIC,ASYM,ASSYM
AUBURN,AU
AUTHORIZED,AUTH
BALL,BAL
BALTIFLAGE,BALTIFLADGE
BALTIMORE,BMORE
BASEBALL,BBALL,BSBL,BB
BASKETBALL,BSKBALL,BSKB
BEANIE,BEANI
BIKINI,BIKIN
BLANK,BLNK,BLAN,BLA
BLURRED KYRIE,BLURKYRIE
BLURRED,BLUR
BODYSUIT,BODYS
BOMBER JACKET,BOMBER JACK,BOMBER
BUTTON,BTN
BOXARINA,BOX-A-RINA,BOX A RINA
BOXERJOCK,BOCKE JOCK,BOXERJO,BOXERJ,BOX JO
BOY'S,BOYS',BOYS,BOY,BOY',B'S,BOYS-,B
CAMISOLE,CAM
CAMO,CAMOUFLAGE
CAMPER,CAMPE
CAN'T,CANT
CAP,C
CAPTAIN AMERICA,CAPTAIN A,CAPT A,CAP A
CAPTAIN,CAPT
CASSIUS CLAY,CASSIUS,CASSIUS,CLAY
CENTER,CTR
CHAMPION,CHAMP
CHAMPIONS,CHAMPS
CHARGED COTTEN,CHRGD COTTON,CHRGDCTTN
CHARGED,CHRGD
CHICAGO,CHI
CINCINNATI,CINCINATTI,CINCI,CINCY,CINN,UNIVERSITY OF CINCI,CIN
CLEAN-UP,CLEAN UP
CLOSED,CLSD
CLUTCHFIT,CLUTCH FIT,CLUTCH
COACH'S,COACHES
COLDBLACK,COLDBLAC
COLDGEAR,COLDGEAR,COLD GEAR,CG
COLORADO,CLRDO
COLORBLOCK,COLORBLK
COMPFIT,COMPFI
COMPRESSION,CMPRSN,CMPR,CMP
COOLSWITCH,COOLSWITCH,COOL SWITCH,ARMR COOLSWITCH
CORE SHORTS,CORESHORTS,CORESHORT,CORE SHORT
COTTON/POLY,CTNPLY,CTN/POLY,POLY/COTTON
COTTON/POLY/STRETCH,COTTON/POLY STRETCH
CREW,CRE
CULTURE,CULTU
DARTH VADER,VADER
DEAD CALM,DEAD-CALM,DEADCALM
DEFEND YOUR TITLE, DEF YOUR TITLE
DELAWARE,DELAW
DEUCES,DUECES
DIAMONDBACKS,DBACKS
DIGI BLUR,DIGIBLUR
DISRUPT,DISRPT
DON'T,DONT
DRESS,DRES
DUO LOGO, DUOLOGO
ELIMINATOR,ELMINATOR
ESSENTIAL,ESNTL
FEATHERED,FTHRD
FEATHERWEIGHT,FTHERWEIGHT
FIELD GOAL,FG
FITTED,FIT
FLANNEL,FLANN,FLNL
FOOTBALL,FOOTBAL,FTBL,FB
FULL ZIP FOUR,FZ-FOUR
FULL ZIP INF,FZ-INF
FULL ZIP SOLID,FZ-SOLID
FULL ZIP TODDLER,FZ-TOD
FULL ZIP,FULL-ZIP,FULL-ZI,FZ
GAME DAY,GAMEDAY
GIRDLE,GIRDL,GIRD
GIRL'S LS,SLEEVE-G
GIRL'S SHOW,GGS
GIRL'S,GIRLS',GIRLS,GIRL,GS,G'S,G.,G
GLOVE,GLOV
GOAT,G.O.A.T.
GORETEX,GORE-TEX,GORTEX,GORE,GORE-TEXA
GOTHIC,GTHC
GRAPHIC,GRAPHI,GRAPH,GRAP
GREEN DAY,G/DAY
HALF COURT,HALF-COURT,HALFCOURT
HAWAII,HAW
HEADBAND,HEADBAN
HELMET,HELME HENLEY,HNLY
HEXASCOPE,HEXISCOPE
HOODED,HDED
CAMO HOODIE,HOODIE-CAMO
SOLID HOODIE,HOODIE-SOLI
HOODIE,HOODY,HOOD,HOODI,HOO
HYBRID,HYBRI,HYB
I GOT WHAT IT TAKES,I WHAT I
I'M,IM
IGNITE MULTIFLECTION,IGNITER-COLOR MULTIFLECTI
IGNITE,IGNITER
INFRARED,INF
INSERT,INSE,WINSERT
INSULATED,INS
INVINCIBLE,INVIS
ISO-CHILL,ISO CHILL
JACKET,JAC,JCKT,JKT,J
JEET JUNE DO,JDK,JACQUARD,JACQNKRD
JERSEY,JERSE,JERS,JER,JSY,JRSY
JOGGER PANTS,JOGGER PANT,JOGG
KALEIDO STAR,KALEIDOSTAR,KALEIDELOG,KALEIDALOGO,KALEIDELOGO,KALEIDO
KNEE PAD,KNEE PA
KNEE SLEEVE,KNEE SLEE
KNIT,KNITTED
KNOCKOUT,KO
LACROSSE,LAX
LAS VEGAS,LV
LEATHER,LEATH,LEAT
LEFT-HANDED BATTER,LHB
LEGGING,LEGGIN,LEGGI,LEGG
LIGHTWEIGHT,LGHTWGHT,LTWT,LWH,LT WT,LW
LIMITED,LIMITE,LMTD
LINKS,LINK
LONG SLEEVE,LONGSLEEVE,SLEEVES,L/S,SLVS,SLV,SL,LONGSH,LS,S/L
LOS ANGELES,LA
LS YOUTH,SLEEVE(Y
MARBLE,MRBLE
MATCH,MTCH
MEN'S,MENS',MENS,MEN,MNS,MN'S,M'S,M
MICROFLEECE,MICRO FLEECE,MCROFLC,MCRFLC,MICRO,MF
MODERN,MOD
MOUTHGUARD,MOUTXYNKRD
NIKE CLUB,NKC
NIKE CORE SHORTS,NK CORESHORTS,
NIKE ESSENTIALS,NK ESSENTIALS,NK ESSENTIAL
NIKE IGNITE,NK IGNITE,NK IGNITER
NIKE IGNITE,NK IGNITER
NIKE NITRO,NITRO TM,NK NITRO
NIKE WOMENâ€™S,NKW'S,NKW
NIKE ZIG ZAG,NK ZAGZIG
NK295,NIKE 295,NK 295
NK395,NIKE 395,NK 395
NK495,NIKE 495,NK 495
NK595,NIKE 595,NK 595
NK695,NIKE 695,NK 695
NKR ARMOURSTRETCH,NKR-ARMOUR STRETCH
NKR CC,NKR-CC
NKR SWEATPANT,NKR-SWEATPANT
NKR,NKR-
NO BREAKS,NOBREAKS
NOTRE DAME,ND
NOVELTY,NVL
OFFICIAL,OFFICAL
OLD
ONE TEAM ONE MISSION,1 TEAM 1 MISSION
PACKAGE,PKG
PANTS,PANT,PNT,PA,P,PANT-REGULAR
PATTERN,PATT
PHOTO,PHO
PLAY,PLY
PLAYING,PLAYIN
POLO,POL
POLYESTER,POLY
POWER,PWR
PRINT,PRIN,PRINTE
PULLOVER,PULLOV,PULLO
PURE STRIKE,PURESTRIKE
QB,QUARTERBACK
QTR, QUARTER
QUILTED,QLTD
RACER,RCR
RAIN,RN
REALTREE,REAL TREE
RECRAFTED,RC
REFERENCE,REF.,REF
REFLECTIVE,REFLECT,REFLE,RFLTV,RFLT
RELAXED,RELXD
RELEASE,REALEASE
RIDEABLE,RIDABLE
RIGHT-HANDED BATTER,RHB
ROF BRUCE LEE,ROF BL
RUMBLE IN THE JUNGLE,RUMBLE IN THE ZAIRE,RUMBLE IN THE,RUNTJ RUMBLE,RNTJ,RNTJ RUMBLE
RUN FAST,RUNFAST
RUNNING,RUN
SCRUNCH-NECK,SCRUNCH NEC
SETON HALL,SETN HL,SH
SHEER,SHEERS
SHELL,SHEL
SHIRT,SHIR,SHI
SHORT SLEEVE,SS,S/S,SSV,SHORTSLEEVE,SHORTSLE,SS4/7
SHORTS,SHORT,SHOR,SHO,S
SKINNY,SKNY
SLEEVELESS,SLVLESS,SLVLS
SOFTBALL,SB
SOLID,SOLI
SOUTH,STH
SPIDERMAN,SPIDER MAN
SPIN,SPN
SPORTSTYLE,SPORT STYLE
ST.,ST
STEPH CURRY,STEPH,CURRY
STORM,STRM
STRIPES,STRI,STRZIPES
STUDIOLUX,STUDIO LUX,NKSTUDIOLUX
STUNNER,STUNNE
SURVIVOR,SURV
SWEATER,SWEATE
T400,T4
TANK,TAN,TA
TEE,T-SHIRT,TE,T
TEXAS,TEXA
TEXAS TECH,TT,TTU
TEXTURED,TEXTE
THIRD,THRD
THREADBORNE,THRDBORNE
THROWBACK,THRWBACK,THRWBCK
TIGHT,TIGH
TOURNAMENT,TOURNEY
TRAINER,TRNR
TRAVEL,TRVL
TRENCH COAT,TRENCHC,TRNCH
TRIBLEND,TRI-BLEND,TRI BLEND,TRIBLEN,TRBLNDT
TURF GEAR,TURFGEAR
TWILL,TWIL,TWL
TWIST,TWIS,TWST
UNDER ARMOUR ZIG ZAG CREW,ZIGZAG UNDERARMOUR
UNIFORM,UNI
UNIVERSITY OF,UNIV OF,U OF
UNIVERSITY,UNIV
USA GYMNAST,USA GYUM
V-NECK,VNECK,V NECK,SHMVNECK,SHMVNE,V-NE
VENTED,VENT
VINTAGE,VNTG
WARM-UP,WARM UP,W-UP,WARM-U
WASHED,WSHD
WHAT'S UP,W/UP
WIMBLEDON,WIMBY
WINTERSWEET,SNTERSWT,WNS
WITH CUP,W/CUP
WITH ZIP,W/ZIP
WITH,W/
WOMEN'S SWITCH,WOMENSSWITCH
WOMEN'S,WOMENS,WOMENS',WOMEN,WOMENS,WOME,WMN'S,WMN,WMNS,WMS,WNS,W'S,WS,W
WONDER WOMAN,WONDERWOMAN
WORDMARK,WORDMRK,WRDMRK
WRISTBAND,WRISTBAN,WRISTBA,WRISTB,WRSTBN
YOUTH,YOUT,YTH,(YTH,(YOUTH),Y
ZIP,ZI,Z
